,type,title,date,distance,time,easy,tempo,interval,long,recovery,run_category
686,running,bang su uncategorized,2015-03-07 8:15:35,10.26,1:05:16,FALSE,FALSE,FALSE,FALSE,FALSE,run
687,running,bang su uncategorized,2015-03-02 13:17:27,10.3,1:03:05,FALSE,FALSE,FALSE,FALSE,FALSE,run
688,cycling,bang bon cycling,2015-03-01 7:27:18,23.7,2:01:48,FALSE,FALSE,FALSE,TRUE,FALSE,long
689,running,bang su uncategorized,2015-02-25 12:52:32,12.88,1:33:48,FALSE,FALSE,FALSE,FALSE,FALSE,long
690,running,pak kret uncategorized,2015-02-17 17:26:38,3.3,20:11,FALSE,FALSE,FALSE,FALSE,FALSE,run
691,running,bang rak uncategorized,2015-02-15 6:06:48,7.42,43:27:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
692,running,bang rak uncategorized,2015-02-13 17:59:00,5.09,29:24:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
693,running,phra khanong uncategorized,2015-02-11 17:43:48,4.58,43:09:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
694,running,bang su uncategorized,2015-02-08 18:28:14,10.03,1:09:28,FALSE,FALSE,FALSE,FALSE,FALSE,run
695,running,bang rak uncategorized,2015-02-06 17:57:45,3.78,33:15:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
696,running,bang su uncategorized,2015-02-04 18:32:25,7.76,59:55:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
697,running,bang su uncategorized,2015-02-02 15:21:28,5.07,37:51:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
698,running,bang rak uncategorized,2015-01-30 18:01:57,3.35,20:51,FALSE,FALSE,FALSE,FALSE,FALSE,run
699,running,phra khanong uncategorized,2015-01-28 17:15:13,3.87,39:55:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
700,running,bang su uncategorized,2015-01-24 18:55:35,3.76,25:49:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
701,running,bang su uncategorized,2015-01-20 16:30:23,3.89,24:14:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
702,running,phra khanong uncategorized,2015-01-14 17:33:31,2.29,22:51,FALSE,FALSE,FALSE,FALSE,FALSE,run
703,running,phra khanong uncategorized,2015-01-11 16:34:46,3.26,31:50:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
704,running,phra khanong uncategorized,2015-01-07 17:05:16,3.35,34:23:00,FALSE,FALSE,FALSE,FALSE,FALSE,run
