,type,title,date,distance,time,easy,tempo,interval,long,recovery,category
411,cycling,easy trainer cycling,2016-10-19 21:47:32,13.5,20:03,True,False,False,False,False,easy
412,running,interval 400/400m running,2016-10-18 17:35:40,8.8,57:32,False,False,True,False,False,interval
413,cycling,first 40k indoor cycling ,2016-10-16 23:05:51,40.2,54:22,False,False,False,True,False,long
414,running,easy running,2016-10-14 22:25:31,10.3,1:05:50,True,False,False,False,False,easy
415,cycling,sprinting test cycling,2016-10-13 12:05:28,22.18,30:11,False,False,False,True,False,long
416,running,easy running,2016-10-09 16:44:00,10.07,57:32,True,False,False,False,False,easy
417,running,เป็นลม running,2016-10-09 15:32:36,2.49,17:43,False,False,False,False,False,
418,cycling,indoor cycling,2016-10-08 20:46:00,21.55,30:18,False,False,False,True,False,long
419,cycling,indoor cycling,2016-10-05 18:07:06,24.46,30:23,False,False,False,True,False,long
420,cycling,indoor cycling,2016-10-03 20:07:00,21.12,30:26,False,False,False,True,False,long
421,running,tempo 3k running,2016-10-02 21:33:18,5.18,26:37,False,True,False,False,False,tempo
422,indoor_cycling,indoor cycling,2016-09-30 15:54:29,25.02,32:01,False,False,False,True,False,long
423,cycling,bang khen cycling,2016-09-29 23:43:09,2.43,9:47.7,False,False,False,False,False,
424,running,easy long running,2016-09-28 17:00:34,10.15,1:04:35,True,False,False,True,False,long
425,indoor_cycling,indoor cycling,2016-09-27 13:08:15,13.45,18:20,False,False,False,False,False,
426,cycling,test cycling,2016-09-25 20:33:39,2.38,15:07,False,False,False,False,False,
427,running,interval 800m/1min,2016-09-23 18:02:35,6.05,33:29,False,False,True,False,False,interval
428,running,easy running,2016-09-22 22:10:30,5.04,28:50,True,False,False,False,False,easy
429,indoor_cycling,indoor cycling,2016-09-21 18:02:07,0.0,30:03,False,False,False,False,False,
430,indoor_cycling,indoor cycling,2016-09-20 15:59:22,0.0,16:31,False,False,False,False,False,
431,running,speed play running,2016-09-17 17:45:42,6.71,46:32,False,False,False,False,False,
432,running,long running,2016-09-14 16:53:44,15.24,1:43:07,False,False,False,True,False,long
433,running,easy tempo running,2016-09-10 20:30:18,10.43,58:56,True,True,False,False,False,tempo
434,running,easy running,2016-09-08 17:13:31,7.56,45:28,True,False,False,False,False,easy
435,running,easy running,2016-09-07 17:53:45,5.04,30:34,True,False,False,False,False,easy
436,running,คัน เลิกวิ่ง running,2016-09-04 06:31:40,2.77,15:46,False,False,False,False,False,
437,running,hard tempo running,2016-09-02 20:47:50,5.34,27:40,False,True,False,False,False,tempo
438,running,tempo running,2016-08-29 21:47:34,8.25,43:26,False,True,False,False,False,tempo
439,running,pokémon running,2016-08-27 18:44:12,7.5,52:15,False,False,False,False,False,
440,running,easy running,2016-08-25 19:24:34,3.09,21:42,True,False,False,False,False,easy
441,running,tempo running,2016-08-21 18:10:01,5.07,25:31,False,True,False,False,False,tempo
442,running,sai mai running,2016-08-12 21:19:15,10.37,1:02:24,False,False,False,False,False,
443,running,easy running,2016-08-10 22:15:13,5.25,33:36,True,False,False,False,False,easy
444,running,pokemon running,2016-08-08 19:29:48,5.05,43:15,False,False,False,False,False,
445,running,tempo easy running,2016-08-04 20:31:31,5.25,29:24,True,True,False,False,False,tempo
446,running,tempo running,2016-08-01 21:51:03,5.02,26:54,False,True,False,False,False,tempo
447,running,easy running,2016-07-30 17:33:39,5.06,32:49,True,False,False,False,False,easy
448,running,easy tempo running,2016-07-26 17:41:20,5.04,28:49,True,True,False,False,False,tempo
449,running,active run nakhonnayok 2016,2016-07-24 05:31:47,20.87,1:56:08,False,False,False,True,False,long
450,running,easy running,2016-07-21 22:28:47,5.11,32:28,True,False,False,False,False,easy
451,elliptical,other,2016-07-20 22:10:45,0.0,31:15,False,False,False,False,False,
452,running,recovery running,2016-07-19 18:34:33,3.83,31:22,False,False,False,False,True,recovery
453,running,pattaya marathon 2016 (half),2016-07-17 05:23:30,21.6,2:02:35,False,False,False,True,False,long
454,running,interval 200/200m ,2016-07-15 19:29:41,6.05,36:40,False,False,True,False,False,interval
455,running,tempo running,2016-07-14 18:15:57,10.14,57:40,False,True,False,False,False,tempo
456,running,tempo + speed running,2016-07-11 21:26:06,5.02,27:35,False,True,False,False,False,tempo
457,running,7.5k tempo running,2016-07-08 18:01:18,7.63,46:22,False,True,False,False,False,tempo
458,running,test tempo running,2016-07-06 21:50:18,5.2,29:53,False,True,False,False,False,tempo
459,running,recovery running 3,2016-07-04 23:27:00,5.04,29:16,False,False,False,False,True,recovery
460,running,recovery running 2,2016-07-02 22:40:37,5.07,30:19,False,False,False,False,True,recovery
